Kreis_code;Landkreis;Anzahl_Ladepunkte_0425
5912;Kreisfreie Stadt Dortmund;1115
5112;Kreisfreie Stadt Duisburg;577
5111;Kreisfreie Stadt Düsseldorf;2015
5113;Kreisfreie Stadt Essen;944
5513;Kreisfreie Stadt Gelsenkirchen;392
5914;Kreisfreie Stadt Hagen;264
5915;Kreisfreie Stadt Hamm;294
5916;Kreisfreie Stadt Herne;154
5315;Kreisfreie Stadt Köln;2205
5114;Kreisfreie Stadt Krefeld;228
5316;Kreisfreie Stadt Leverkusen;225
5116;Kreisfreie Stadt Mönchengladbach;572
5117;Kreisfreie Stadt Mülheim an der Ruhr;193
5515;Kreisfreie Stadt Münster;472
5119;Kreisfreie Stadt Oberhausen;507
5120;Kreisfreie Stadt Remscheid;194
5122;Kreisfreie Stadt Solingen;218
5124;Kreisfreie Stadt Wuppertal;366
7311;Kreisfreie Stadt Frankenthal (Pfalz);65
7312;Kreisfreie Stadt Kaiserslautern;229
7111;Kreisfreie Stadt Koblenz;294
7313;Kreisfreie Stadt Landau in der Pfalz;158
7314;Kreisfreie Stadt Ludwigshafen am Rhein;307
7315;Kreisfreie Stadt Mainz;404
7316;Kreisfreie Stadt Neustadt an der Weinstraße;114
7317;Kreisfreie Stadt Pirmasens;40
7318;Kreisfreie Stadt Speyer;113
7211;Kreisfreie Stadt Trier;150
7319;Kreisfreie Stadt Worms;82
7320;Kreisfreie Stadt Zweibrücken;156
7131;Landkreis Ahrweiler;236
7132;Landkreis Altenkirchen (Westerwald);136
7331;Landkreis Alzey-Worms;158
7332;Landkreis Bad Dürkheim;173
7133;Landkreis Bad Kreuznach;225
7231;Landkreis Bernkastel-Wittlich;222
7134;Landkreis Birkenfeld;87
7135;Landkreis Cochem-Zell;139
7333;Landkreis Donnersbergkreis;58
7232;Landkreis Eifelkreis Bitburg-Prüm;144
7334;Landkreis Germersheim;117
7335;Landkreis Kaiserslautern;103
7336;Landkreis Kusel;50
7337;Landkreis Mainz-Bingen;297
7137;Landkreis Mayen-Koblenz;356
7138;Landkreis Neuwied;319
7140;Landkreis Rhein-Hunsrück-Kreis;236
7141;Landkreis Rhein-Lahn-Kreis;141
7338;Landkreis Rhein-Pfalz-Kreis;229
7339;Landkreis Südliche Weinstraße;152
7340;Landkreis Südwestpfalz;79
7233;Landkreis Trier-Saarburg;235
7234;Landkreis Vulkaneifel;233
7143;Landkreis Westerwaldkreis;380
10042;Landkreis Merzig-Wadern;158
10043;Landkreis Neunkirchen;113
10041;Landkreis Regionalverband Saarbrücken;413
10044;Landkreis Saarlouis;229
10045;Landkreis Saarpfalz-Kreis;239
10046;Landkreis St. Wendel;115
14511;Kreisfreie Stadt Chemnitz;433
14612;Kreisfreie Stadt Dresden;952
14713;Kreisfreie Stadt Leipzig;1101
14625;Landkreis Bautzen;412
14521;Landkreis Erzgebirgskreis;407
14626;Landkreis Görlitz;266
14729;Landkreis Leipzig;362
14627;Landkreis Meißen;243
14522;Landkreis Mittelsachsen;320
14730;Landkreis Nordsachsen;208
14628;Landkreis Sächsische Schweiz-Osterzgebirge;295
