Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
;Biogas;43932;e;41388;e;54486;e;611654;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;26271;e;25413;e;29022;e;389635;e
;Deponiegas;177837;e;169711;e;101327;e;1983570;e
;Sonstige erneuerbare Energien;22242;e;20828;e;-;;203071;e
;Klärschlamm;149243;e;136932;e;11738;e;1408963;e
;Abfall (Hausmüll, Industrie);8259887;e;6398662;e;9565484;e;149761354;e
;Abfall (Industrie);-;;-;;-;;-;
;Abfall (Hausmüll, Siedlungsabfälle);-;;-;;-;;-;
;Kernenergie;140534043;e;133229497;e;-;;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;526882;e;496684;e;954122;e;9430584;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;522781498;e;488369371;e;107968180;e;3575080546;e
2008;Steinkohlen;114885388;e;105713575;e;32941845;e;1118638161;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;146440892;e;134498393;e;9254575;e;1415706906;e
;Hartbraunkohlen;94346;e;78569;e;289522;e;1665471;e
;Braunkohlenbriketts;34217;e;29629;e;98006;e;657393;e
;Braunkohlenkoks;2106;e;1561;e;434;e;50379;e
;Wirbelschichtkohle;335614;e;280874;e;280061;e;4546659;e
;Staub- und Trockenkohle;556092;e;501643;e;679415;e;7472477;e
;Sonstige Braunkohlen;290574;e;274164;e;44325;e;2585827;e
;Dieselkraftstoff;7500;e;6730;e;0;e;77095;e
;Heizöl, leicht;507289;e;462417;e;312793;e;6774084;e
;Heizöl, schwer;573306;e;529916;e;76726;e;5402616;e
;Flüssiggas;-;;-;;-;;-;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;462020;e;426545;e;32239;e;4242902;e
;Sonstige Mineralölprodukte;1322503;e;1211524;e;32614;e;11989511;e
;Erdgas, Erdölgas;68985670;e;66936721;e;52924302;e;632227050;e
;Grubengas;404855;e;387442;e;84921;e;3888661;e
;Kokereigas;552326;e;515282;e;10722;e;5107385;e
;Hochofengas;2453368;e;2280769;e;22749;e;22696965;e
