Hersteller;Modell;Antrieb;Leistung (kW);Grundpreis ;10k;15k;20k;30k;Strom_cent_kWh;Segment
Hyundai;IONIQ 5 (63 kWh) 2WD;E;125;43900;88,5;64;53,1;41,4;35;Mittelklasse-Crossover 
Hyundai;IONIQ 5 (84 kWh) DYNAMIQ 2WD;E;168;51650;98;70,4;57,8;44,7;35;Mittelklasse-Crossover 
Hyundai;IONIQ 5 N;E;448;74900;135,6;100,1;83,9;66,9;35;Performance-Crossover 
Audi;A3 allstreet 40 TFSI e S tronic;S/E;150;46000;84,2;62,2;51,4;41;18;Kompaktklasse
Audi;A3 allstreet 35 TFSI;S;110;35400;77,4;58,6;49,6;40,6;18;Kompaktklasse
Audi;A3 allstreet 35 TDI S tronic;D;110;41000;87,1;64;53,7;42,8;18;Kompaktklasse
Audi;A3 Sportback 40 TFSI e S tronic;S/E;150;44200;81,9;60,4;49,8;39,7;18;Kompaktklasse
Audi;A3 Sportback 30 TFSI;S;85;31300;72,5;54,7;46,2;37,7;18;Kompaktklasse
Audi;A3 Sportback 30 TDI;D;85;34400;79,4;58,2;48,7;38,7;18;Kompaktklasse
Audi;A6 Sportback e-tron;E;240;62800;120,6;86,8;70,9;54,1;18;Obere Mittelklasse
Audi;S5 Limousine 3.0 V6 TFSI MHEV plus S tronic;S;270;78500;131,8;99,7;85,4;70,1;18;Mittelklasse
Audi;A5 Limousine 2.0 TDI MHEV plus S tronic;D;150;54200;108,8;78,9;64,7;50,8;18;Mittelklasse
Audi;A6 Sportback e-tron performance;E;280;75600;137,3;99,6;81,8;63;18;Obere Mittelklasse
Audi;A8 60 TFSI e quattro tiptronic;S/E;340;120950;226,8;160,1;129,2;96,8;18;Oberklasse
Audi;A8 55 TFSI quattro tiptronic;S;250;108850;221,2;157,8;128,3;97,5;18;Oberklasse
Audi;A8 50 TDI quattro tiptronic;D;210;106600;222;156,2;125,2;93,4;18;Oberklasse
Audi;Q4 40 e-tron;E;150;46150;91,6;66,2;54,1;41,3;18;Kompakt-SUV
Audi;Q5 2.0 TFSI MHEV plus S tronic;S;150;52300;111,4;82,6;69,6;55,6;18;Mittelklasse-SUV
Audi;Q5 2.0 TDI MHEV plus quattro S tronic;D;150;57100;115,7;85,4;71,6;56,8;18;Mittelklasse-SUV
Audi;Q4 45 e-tron;E;210;52950;103,7;75,7;62,3;48,1;18;Kompakt-SUV
Audi;Q4 Sportback 40 e-tron;E;150;48150;92,9;67,2;55;42,1;18;Kompakt-SUV
Audi;Q4 Sportback 45 e-tron;E;210;54950;104,8;76,6;63,1;48,8;18;Kompakt-SUV
Audi;Q5 Sportback 2.0 TFSI MHEV plus S tronic;S;150;54800;113,1;83,9;70,7;56,5;18;Mittelklasse-SUV
Audi;Q6 e-tron;E;215;63500;120,6;85,6;69,9;52,9;18;Obere Mittelklasse-SUV
Audi;Q7 55 TFSI quattro tiptronic (5-Sitzer);S;250;84000;175;128,3;107,4;85,7;18;Oberklasse-SUV
Audi;Q7 45 TDI quattro tiptronic (5-Sitzer);D;170;80900;168,1;121,1;99,3;77,7;18;Oberklasse-SUV
Audi;Q6 e-tron performance;E;240;68800;127,3;90,5;73,8;56;18;Obere Mittelklasse-SUV
Audi;Q6 Sportback e-tron;E;215;65900;121,7;86,5;70,7;53,6;18;Obere Mittelklasse-SUV
Audi;Q6 Sportback e-tron performance;E;240;71200;128,3;91,3;74,6;56,6;18;Obere Mittelklasse-SUV
Audi;Q7 55 TFSI e quattro tiptronic (5-Sitzer);S/E;290;87300;164;118,3;98,3;76,4;18;Oberklasse-SUV
Audi;Q8 55 TFSI e quattro tiptronic;S/E;290;94700;168,5;123;103,3;81,6;18;Oberklasse-SUV
Audi;Q8 55 TFSI quattro tiptronic;S;250;91500;184,9;136,5;114,9;91,5;18;Oberklasse-SUV
Audi;Q8 45 TDI quattro tiptronic;D;170;88400;180,7;131;108,3;85;18;Oberklasse-SUV
Audi;S e-tron GT quattro;E;500;126000;207,3;148,9;125,1;96,3;18;Sportwagen 
Audi;S6 Avant e-tron quattro;E;405;101150;164,2;120;99,2;76,9;18;Obere Mittelklasse 
Audi;RS6 Avant tiptronic;SP;441;131500;251,2;184,7;154,2;122,4;18;Obere Mittelklasse 
Audi;S6 Sportback e-tron quattro;E;405;99500;162,1;118,5;97,9;75,9;18;Obere Mittelklasse
Audi;SQ6 e-tron quattro;E;380;93800;149,4;108,3;90,1;70,4;18;Obere Mittelklasse-SUV
Audi;SQ6 Sportback e-tron quattro;E;380;96200;152;110,1;91,5;71,4;18;Obere Mittelklasse-SUV
ALPINA;D3 S Touring Allrad Switch-Tronic;D;261;83000;150,3;112,5;93,9;76,9;18;Obere Mittelklasse
ALPINA;D4 S Gran Coupé Allrad Switch-Tronic;D;261;86400;153,6;114,9;97,1;79;18;Obere Mittelklasse
ALPINA;XD4 Switch-Tronic;D;290;92900;163,7;122,7;103,6;84,5;18;Mittelklasse-SUV
BMW;225e Active Tourer xDrive Steptronic (DKG);SP/E;180;49350;92,7;68;55,7;44;18;Kompaktvan
BMW;216i Active Tourer Steptronic (DKG);SP;90;36200;82,7;62,3;52,1;42,6;18;Kompaktvan
BMW;218d Active Tourer Steptronic (DKG);D;110;42100;92,3;67,3;54,9;43,3;18;Kompaktvan
BMW;330e Steptronic;SP/E;215;62600;114,7;82,7;66,8;51,9;18;Mittelklasse
BMW;318i Steptronic;SP;115;46600;104,8;77,1;63,3;50,5;18;Mittelklasse
BMW;318d Steptronic;D;110;51100;111,6;80,1;64,4;50,1;18;Mittelklasse
BMW;330e Touring Steptronic;SP/E;215;63900;113,6;82,2;66,6;52;18;Mittelklasse
BMW;318i Touring Steptronic;SP;115;47900;104,5;77,3;63,7;51;18;Mittelklasse
BMW;318d Touring Steptronic;D;110;52400;108,9;78,6;63,4;49,7;18;Mittelklasse
BMW;530e Steptronic;SP/E;220;65900;123,8;88,5;71,1;55;18;Obere Mittelklasse
BMW;520i Steptronic;SP;153;59000;123,6;89,5;72,6;57;18;Obere Mittelklasse
BMW;520d Steptronic;D;145;61300;133,7;95,3;76;58,4;18;Obere Mittelklasse
BMW;530e Touring Steptronic;SP/E;220;68170;125,1;89,6;72,1;56;18;Obere Mittelklasse
