name,type,lat,lon,capacity_mw
Unbekannt,Bioenergy,50.25657446,7.075623034,2.58
Unbekannt,Wind,51.12694646,12.01167451,1.5
Unbekannt,Wind,51.49227316,7.866112493,1.5
Unbekannt,Wind,51.12694646,12.01167451,1.5
Unbekannt,Wind,48.57071678,12.73610043,1.5
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,52.24179202,9.841099253,1.5
Unbekannt,Wind,51.12694646,12.01167451,1.5
Unbekannt,Wind,51.12694646,12.01167451,1.5
Unbekannt,Wind,53.13795182,7.616428704,1.5
Unbekannt,Wind,50.02011012,7.647530718,1.5
Unbekannt,Wind,52.74354092,7.600303462,1.8
Unbekannt,Wind,52.93665267,8.23501927,1.5
Unbekannt,Wind,53.4981318,13.99509922,1.3
Unbekannt,Wind,53.4981318,13.99509922,1.3
Unbekannt,Wind,53.4981318,13.99509922,1.3
Unbekannt,Wind,51.12694646,12.01167451,1.5
Unbekannt,Bioenergy,50.99245131,12.9779191,2.05
Unbekannt,Wind,53.4981318,13.99509922,1.3
Unbekannt,Wind,53.4981318,13.99509922,1.3
Unbekannt,Wind,51.88445551,11.86697241,1.5
Unbekannt,Wind,53.4981318,13.99509922,1.3
Unbekannt,Wind,53.4981318,13.99509922,1.3
Unbekannt,Wind,51.88445551,11.86697241,1.5
Unbekannt,Wind,54.39566139999999,10.3696268,1.5
Unbekannt,Wind,51.21871837,12.74039911,1.3
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,53.74335708,9.571547435,3.0
Unbekannt,Wind,54.17723241,10.97557686,1.5
Unbekannt,Wind,51.21871837,12.74039911,1.5
Unbekannt,Wind,53.82318561,9.618958662,1.3
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,51.7199406,8.828694039,1.5
Unbekannt,Wind,50.89155216,10.81036404,1.05
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,51.99664204,13.75444981,1.5
Unbekannt,Wind,50.66745439,13.33151712,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,51.08858605,14.66618951,1.5
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,51.21871837,12.74039911,1.5
Unbekannt,Wind,51.14044475,13.91439608,1.3
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,51.20564873,11.95568101,1.5
Unbekannt,Wind,51.08858605,14.66618951,1.5
Unbekannt,Wind,50.69515635,11.9065028,1.5
Unbekannt,Wind,51.20564873,11.95568101,1.5
Unbekannt,Wind,51.20564873,11.95568101,1.5
Unbekannt,Wind,51.08858605,14.66618951,1.5
Unbekannt,Wind,51.23065549,13.02810109,1.5
